filename;scenario;type;n;instance;dp_obj;dp_time;gurobi_obj;gurobi_time;obj_match
kpdwfs_sc2_id3_n800_b1240_sets40_k288_correlated.txt;2;C;800;3;2225,00;4,7779;2225,00;0,0340;True
kpdwfs_sc2_id4_n1000_b1550_sets41_k288_correlated.txt;2;C;1000;4;2235,00;7,2257;2235,00;0,0364;True
kpdwfs_sc2_id4_n300_b465_sets39_k320_correlated.txt;2;C;300;4;1200,00;0,7978;1200,00;0,0244;True
kpdwfs_sc2_id4_n500_b775_sets32_k320_correlated.txt;2;C;500;4;1558,00;2,1156;1558,00;0,0374;True
kpdwfs_sc2_id4_n700_b1085_sets33_k320_correlated.txt;2;C;700;4;1916,00;4,0300;1916,00;0,0520;True
kpdwfs_sc2_id4_n800_b1240_sets44_k288_correlated.txt;2;C;800;4;2392,00;4,1808;2392,00;0,0577;True
kpdwfs_sc2_id5_n1000_b1550_sets39_k288_correlated.txt;2;C;1000;5;2205,00;6,9177;2205,00;0,0425;True
kpdwfs_sc2_id5_n300_b465_sets42_k320_correlated.txt;2;C;300;5;1219,00;0,7647;1219,00;0,0344;True
kpdwfs_sc2_id5_n500_b775_sets36_k320_correlated.txt;2;C;500;5;1721,00;2,1601;1721,00;0,0460;True
kpdwfs_sc2_id5_n700_b1085_sets36_k320_correlated.txt;2;C;700;5;1759,00;3,7749;1759,00;0,0592;True
kpdwfs_sc2_id5_n800_b1240_sets43_k288_correlated.txt;2;C;800;5;2137,00;3,5223;2137,00;0,0577;True
kpdwfs_sc2_id6_n1000_b1550_sets40_k288_correlated.txt;2;C;1000;6;2126,00;7,0367;2126,00;0,0526;True
kpdwfs_sc2_id6_n300_b465_sets39_k320_correlated.txt;2;C;300;6;1226,00;0,8014;1226,00;0,0355;True
kpdwfs_sc2_id6_n500_b775_sets41_k320_correlated.txt;2;C;500;6;1712,00;2,3407;1712,00;0,0750;True
kpdwfs_sc2_id6_n700_b1085_sets43_k320_correlated.txt;2;C;700;6;2166,00;4,1832;2166,00;0,0540;True
kpdwfs_sc2_id6_n800_b1240_sets36_k288_correlated.txt;2;C;800;6;2031,00;4,2712;2031,00;0,0481;True
kpdwfs_sc2_id7_n1000_b1550_sets44_k288_correlated.txt;2;C;1000;7;2447,00;7,1830;2447,00;0,0393;True
kpdwfs_sc2_id7_n300_b465_sets34_k320_correlated.txt;2;C;300;7;1254,00;0,8131;1254,00;0,0325;True
kpdwfs_sc2_id7_n500_b775_sets37_k320_correlated.txt;2;C;500;7;1691,00;2,1953;1691,00;0,0393;True
kpdwfs_sc2_id7_n700_b1085_sets39_k320_correlated.txt;2;C;700;7;2134,00;3,7252;2134,00;0,0527;True
kpdwfs_sc2_id7_n800_b1240_sets35_k288_correlated.txt;2;C;800;7;2039,00;5,4133;2039,00;0,0271;True
kpdwfs_sc2_id8_n1000_b1550_sets38_k288_correlated.txt;2;C;1000;8;2316,00;7,9626;2316,00;0,0518;True
kpdwfs_sc2_id8_n300_b465_sets35_k320_correlated.txt;2;C;300;8;1259,00;1,0365;1259,00;0,0494;True
kpdwfs_sc2_id8_n500_b775_sets36_k320_correlated.txt;2;C;500;8;1613,00;2,5298;1613,00;0,0340;True
kpdwfs_sc2_id8_n700_b1085_sets35_k320_correlated.txt;2;C;700;8;1860,00;4,1270;1860,00;0,0452;True
kpdwfs_sc2_id8_n800_b1240_sets38_k288_correlated.txt;2;C;800;8;1872,00;4,2088;1872,00;0,0295;True
kpdwfs_sc2_id9_n1000_b1550_sets35_k288_correlated.txt;2;C;1000;9;2156,00;6,1784;2156,00;0,0440;True
kpdwfs_sc2_id9_n300_b465_sets34_k320_correlated.txt;2;C;300;9;1168,00;0,8358;1168,00;0,0364;True
kpdwfs_sc2_id9_n500_b775_sets36_k320_correlated.txt;2;C;500;9;1641,00;2,2452;1641,00;0,0496;True
kpdwfs_sc2_id9_n700_b1085_sets38_k320_correlated.txt;2;C;700;9;2072,00;4,0474;2072,00;0,0610;True
kpdwfs_sc2_id9_n800_b1240_sets36_k288_correlated.txt;2;C;800;9;2127,00;3,7389;2127,00;0,0612;True
kpdwfs_sc2_id10_n1000_b1550_sets41_k288_fully-correlated.txt;2;FC;1000;10;2721,00;7,8089;2721,00;0,0344;True
kpdwfs_sc2_id10_n300_b465_sets30_k320_fully-correlated.txt;2;FC;300;10;1087,00;1,0067;1087,00;0,0414;True
