corr_type,instance_file,obj_value,runtime
correlated,id_9_objs_800_size_1240_sets_96_maxNumConflicts_16_maxCost_20_correlated.txt,3514.0,3.90
fully-correlated,id_10_objs_1000_size_1550_sets_96_maxNumConflicts_20_maxCost_19_fully-correlated.txt,4401.0,7.96
fully-correlated,id_10_objs_300_size_465_sets_73_maxNumConflicts_6_maxCost_26_fully-correlated.txt,1297.0,0.07
fully-correlated,id_10_objs_500_size_775_sets_79_maxNumConflicts_10_maxCost_23_fully-correlated.txt,2106.0,0.56
fully-correlated,id_10_objs_700_size_1085_sets_82_maxNumConflicts_14_maxCost_22_fully-correlated.txt,3094.0,2.44
fully-correlated,id_10_objs_800_size_1240_sets_93_maxNumConflicts_16_maxCost_27_fully-correlated.txt,3452.0,4.22
fully-correlated,id_1_objs_1000_size_1550_sets_88_maxNumConflicts_20_maxCost_22_fully-correlated.txt,4428.0,10.07
fully-correlated,id_1_objs_300_size_465_sets_78_maxNumConflicts_6_maxCost_29_fully-correlated.txt,1244.0,0.06
fully-correlated,id_1_objs_500_size_775_sets_87_maxNumConflicts_10_maxCost_24_fully-correlated.txt,2208.0,0.50
fully-correlated,id_1_objs_700_size_1085_sets_92_maxNumConflicts_14_maxCost_25_fully-correlated.txt,3162.0,2.22
fully-correlated,id_1_objs_800_size_1240_sets_94_maxNumConflicts_16_maxCost_21_fully-correlated.txt,3573.0,3.85
fully-correlated,id_2_objs_1000_size_1550_sets_85_maxNumConflicts_20_maxCost_18_fully-correlated.txt,4381.0,10.20
fully-correlated,id_2_objs_300_size_465_sets_75_maxNumConflicts_6_maxCost_27_fully-correlated.txt,1340.0,0.07
fully-correlated,id_2_objs_500_size_775_sets_85_maxNumConflicts_10_maxCost_25_fully-correlated.txt,2268.0,0.61
fully-correlated,id_2_objs_700_size_1085_sets_84_maxNumConflicts_14_maxCost_21_fully-correlated.txt,3038.0,2.22
fully-correlated,id_2_objs_800_size_1240_sets_81_maxNumConflicts_16_maxCost_19_fully-correlated.txt,3520.0,4.23
fully-correlated,id_3_objs_1000_size_1550_sets_91_maxNumConflicts_20_maxCost_24_fully-correlated.txt,4565.0,11.09
fully-correlated,id_3_objs_300_size_465_sets_78_maxNumConflicts_6_maxCost_25_fully-correlated.txt,1301.0,0.06
fully-correlated,id_3_objs_500_size_775_sets_88_maxNumConflicts_10_maxCost_25_fully-correlated.txt,2162.0,0.47
fully-correlated,id_3_objs_700_size_1085_sets_87_maxNumConflicts_14_maxCost_24_fully-correlated.txt,3058.0,2.22
fully-correlated,id_3_objs_800_size_1240_sets_93_maxNumConflicts_16_maxCost_26_fully-correlated.txt,3482.0,4.32
fully-correlated,id_4_objs_1000_size_1550_sets_113_maxNumConflicts_20_maxCost_22_fully-correlated.txt,4439.0,8.64
fully-correlated,id_4_objs_300_size_465_sets_75_maxNumConflicts_6_maxCost_25_fully-correlated.txt,1270.0,0.06
fully-correlated,id_4_objs_500_size_775_sets_93_maxNumConflicts_10_maxCost_25_fully-correlated.txt,2178.0,0.44
fully-correlated,id_4_objs_700_size_1085_sets_83_maxNumConflicts_14_maxCost_18_fully-correlated.txt,3110.0,2.51
fully-correlated,id_4_objs_800_size_1240_sets_85_maxNumConflicts_16_maxCost_26_fully-correlated.txt,3546.0,4.21
fully-correlated,id_5_objs_1000_size_1550_sets_99_maxNumConflicts_20_maxCost_20_fully-correlated.txt,4498.0,9.01
fully-correlated,id_5_objs_300_size_465_sets_78_maxNumConflicts_6_maxCost_26_fully-correlated.txt,1310.0,0.06
fully-correlated,id_5_objs_500_size_775_sets_79_maxNumConflicts_10_maxCost_26_fully-correlated.txt,2171.0,0.57
fully-correlated,id_5_objs_700_size_1085_sets_92_maxNumConflicts_14_maxCost_24_fully-correlated.txt,3118.0,2.12
fully-correlated,id_5_objs_800_size_1240_sets_86_maxNumConflicts_16_maxCost_21_fully-correlated.txt,3512.0,3.87
fully-correlated,id_6_objs_1000_size_1550_sets_95_maxNumConflicts_20_maxCost_26_fully-correlated.txt,4334.0,9.29
fully-correlated,id_6_objs_300_size_465_sets_75_maxNumConflicts_6_maxCost_22_fully-correlated.txt,1371.0,0.06
fully-correlated,id_6_objs_500_size_775_sets_81_maxNumConflicts_10_maxCost_22_fully-correlated.txt,2218.0,0.56
fully-correlated,id_6_objs_700_size_1085_sets_89_maxNumConflicts_14_maxCost_20_fully-correlated.txt,3083.0,2.24
fully-correlated,id_6_objs_800_size_1240_sets_94_maxNumConflicts_16_maxCost_26_fully-correlated.txt,3447.0,3.69
fully-correlated,id_7_objs_1000_size_1550_sets_96_maxNumConflicts_20_maxCost_30_fully-correlated.txt,4422.0,8.32
fully-correlated,id_7_objs_300_size_465_sets_78_maxNumConflicts_6_maxCost_26_fully-correlated.txt,1359.0,0.07
